title,beds,bath,area,adress,type,purpose,flooPlan,url,lastUpdated,price
"Grab This 1700 Sq Ft Apartment For Rent In Mirpur, Section-2",4 ,3 ,"1,700 sqft","Block D, Section 2, Mirpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1562154-400x300.webp,https://www.bproperty.com/en/property/details-3035799.html,"February 22, 2023",30 Thousand
In The Fine Location Of Chatogram A 1600 Sq Ft Furnished Apartment Is All Set For Rent Near To Ab Bank Limited,3 ,3 ,"1,600 sqft","South Khulshi, Khulshi, Chattogram",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1322642-240x180.webp,https://www.bproperty.com/en/property/details-1819257.html,"February 10, 2023",70 Thousand
Affordable And Beautiful Flat Is Up For Rent In West Rampura Which Is 2300 Sq Ft,4 ,4 ,"2,300 sqft","Block D, Mohanagar Housing, West Rampura, Rampura, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1573675-240x180.webp,https://www.bproperty.com/en/property/details-5554033.html,"February 12, 2023",43 Thousand
Let Us Help You To Rent This 1250 Sq Ft Apartment Which Is Now Available In Bashundhara R-A,3 ,3 ,"1,250 sqft","Block K, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1568736-240x180.webp,https://www.bproperty.com/en/property/details-5370545.html,"January 2, 2023",21 Thousand
"Impressively Done, Large 4350 Sq Ft Rental Residential Duplex Is In The Center Of Uttara, Sector 13",5 ,6 ,"4,350 sqft","Sector 13, Uttara, Dhaka",Duplex,For Rent,https://images-cdn.bproperty.com/thumbnails/1496925-240x180.webp,https://www.bproperty.com/en/property/details-3096458.html,"February 5, 2022",1.1 Lakh
"Comfortable and well designed flat of 3200 SQ FT in Bashundhara R/A Block C for rent, near Mridha Bari Jame Mosjid",4 ,5 ,"3,200 sqft","Block C, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/520548-400x300.webp,https://www.bproperty.com/en/property/details-1772824.html,"February 12, 2023",1 Lakh
"Luxurious And Furnished Apartment At Khulshi, For Rent Close To Khulshi Jame Masjid",4 ,5 ,"2,000 sqft","Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/188409-240x180.webp,https://www.bproperty.com/en/property/details-1981196.html,"January 23, 2022",80 Thousand
"Nice Flat Can Be Found In Kalabagan For Rent, Near Bashir Uddin Jame Mosque.",3 ,4 ,"2,000 sqft","Kalabagan, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/45850-240x180.webp,https://www.bproperty.com/en/property/details-1911186.html,"February 14, 2023",45 Thousand
A Decent 1200 Sq Ft Flat Is Now To Rent In Mohammadpur,3 ,3 ,"1,200 sqft","Mohammadia Housing Society, Mohammadpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1567039-400x300.webp,https://www.bproperty.com/en/property/details-4648875.html,"February 19, 2023",25 Thousand
Take This Rental Property Of 2300 Sq Ft Which Is Vacant Right Now At Bashundhara R-a,4 ,4 ,"2,300 sqft","Block F, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/297515-400x300.webp,https://www.bproperty.com/en/property/details-3068821.html,"September 21, 2021",55 Thousand
"A Nice House Is Available For Rent At Kafrul, With An Affordable Deal.",4 ,3 ,"1,800 sqft","Kafrul, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/297515-400x300.webp,https://www.bproperty.com/en/property/details-4015348.html,"November 3, 2022",40 Thousand
"A Well Defined Residential Flat Of 800 Sq Ft Is Available For rent In Mohakhali Dohs, Near Canadian Institute Of Global Learning, Bangladesh",2 ,2 ,800 sqft,"Mohakhali DOHS, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/311016-400x300.webp,https://www.bproperty.com/en/property/details-1770277.html,"February 14, 2023",35 Thousand
"A 2146 Sq. Ft Spacious Flat In Uttara, Sector 13 Is Now For Rent",3 ,4 ,"2,146 sqft","Sector 13, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/934786-240x180.webp,https://www.bproperty.com/en/property/details-2059683.html,"January 30, 2022",55 Thousand
Worthy 1315 Sq Ft Residential Apartment Is For rent At 10 No. North Kattali Ward,3 ,3 ,"1,315 sqft","10 No. North Kattali Ward, Chattogram",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/977405-240x180.webp,https://www.bproperty.com/en/property/details-2057255.html,"August 10, 2022",26 Thousand
Check This Apartment Up For Rent At Uttara Near EXIM Bank Limited.,3 ,3 ,"1,500 sqft","Sector 4, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1548808-240x180.webp,https://www.bproperty.com/en/property/details-1931206.html,"August 24, 2022",35 Thousand
"An Apartment Is Ready For Rent At Mohammadpur , Near Mohammadpur Baitur Rahman Jame Masjid.",2 ,2 ,700 sqft,"Mohammadpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1567039-400x300.webp,https://www.bproperty.com/en/property/details-1933212.html,"August 20, 2022",16 Thousand
Offering You A 2 Bedroom Flat For Rent In Katashur Near Kaderabad Housing Estate Jam-e-masjid,2 ,1 Bath,600 sqft,"Kaderabad Housing Society, Katashur, Mohammadpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1567039-400x300.webp,https://www.bproperty.com/en/property/details-1977889.html,"March 6, 2020",14.5 Thousand
"Apartment For Rent In Turag, Near Kamarpara School & College",2 ,2 ,960 sqft,"Kamarpara, Turag, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1567039-400x300.webp,https://www.bproperty.com/en/property/details-1978408.html,"March 6, 2020",14 Thousand
"An Apartment For Rent Is All Set For You To Settle In Khulshi, Nearby Women College.",3 ,4 ,"2,200 sqft","South Khulshi, Khulshi, Chattogram",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1567039-400x300.webp,https://www.bproperty.com/en/property/details-1978833.html,"March 6, 2020",35 Thousand
Acquire This Apartment Up For Rent In Khulshi Near Khulshi Police Station.,3 ,3 ,"1,500 sqft","Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1570481-400x300.webp,https://www.bproperty.com/en/property/details-1982039.html,"February 1, 2022",25 Thousand
A Reasonable 1400 Sq Ft Flat Is Ready To Rent In Bochila Near Jannatul Firdous Mosque,3 ,3 ,"1,400 sqft","Block C, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1570481-400x300.webp,https://www.bproperty.com/en/property/details-1977559.html,"October 1, 2020",16 Thousand
A Modern Well-planned Flat Of 1600 Sq Ft Is Up For Rent Is Situated In Khulshi,3 ,4 ,"1,600 sqft","Khulshi, Chattogram",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1569844-400x300.webp,https://www.bproperty.com/en/property/details-3422348.html,"May 19, 2021",30 Thousand
"When Location, And Convenience Is Your Priority This 2 Bedroom Flat Is For You Next To Pallabi Phase 2 Central Mosque.",2 ,2 ,700 sqft,"Eastern Pallabi, Pallabi, Mirpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/335802-400x300.webp,https://www.bproperty.com/en/property/details-5345031.html,"February 16, 2023",15 Thousand
"Well Developed Residence Up For Rent In Gulshan 2 Near American International School Dhaka, Of 4200 Sq Ft",4 ,4 ,"4,200 sqft","Gulshan 2, Gulshan, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1176696-240x180.webp,https://www.bproperty.com/en/property/details-1714471.html,"September 12, 2022",2.5 Lakh
2250 Sq Ft Flat For Rent In Gulshan 2 Near Azad Mosque,3 ,3 ,"2,250 sqft","Gulshan 2, Gulshan, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1032395-240x180.webp,https://www.bproperty.com/en/property/details-1896679.html,"January 16, 2023",90 Thousand
A Unique Apartment In Colonel Hat Near Colonel Hat City Corporation Is Up For Rent,3 ,3 ,"1,517 sqft","Colonel Jones Road, Colonel Hat, 10 No. North Kattali Ward, Chattogram",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1045-240x180.webp,https://www.bproperty.com/en/property/details-1990352.html,"February 7, 2023",15 Thousand
A Convenient And Well-constructed 2300 Sq. ft -3 Bedroom Flat Is For Rent Very Close To Niketon Darul Kuran Madrasa Mosjid.,3 ,3 ,"2,300 sqft","Gulshan 1, Gulshan, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1513375-240x180.webp,https://www.bproperty.com/en/property/details-5452159.html,"April 10, 2022",90 Thousand
Fairly Large Apartment Of 1250 Sq Ft Is Ready For Rent In Chandrima Model Town,3 ,3 ,"1,250 sqft","Block A, Chandrima Model Town, Mohammadpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/568608-400x300.webp,https://www.bproperty.com/en/property/details-4582695.html,"April 19, 2022",15 Thousand
2000 Sq Ft Good Looking Flat In Uttara Is Now For Rent Nearby Oasis Intermediate College,3 ,4 ,"2,000 sqft","Sector 9, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1570593-400x300.webp,https://www.bproperty.com/en/property/details-1824050.html,"December 17, 2021",35 Thousand
3200 Sq Ft Apartment Is Available For Rent In Gulshan,4 ,4 ,"3,200 sqft","Gulshan 1, Gulshan, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1441318-240x180.webp,https://www.bproperty.com/en/property/details-3071751.html,"November 28, 2021",2.5 Lakh
A Convenient 3200 Sq Ft Residential Home Is Prepared To Be Rented At Gulshan,4 ,4 ,"3,200 sqft","Gulshan 1, Gulshan, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1441404-240x180.webp,https://www.bproperty.com/en/property/details-3071749.html,"November 28, 2021",2.5 Lakh
"A very beautiful 1200 SQ FT flat is now available for rent in Khulshi, Road No 7",3 ,3 ,"1,200 sqft","Nasirabad Properties Residential Area, Khulshi, Chattogram",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1119831-400x300.webp,https://www.bproperty.com/en/property/details-4958254.html,"February 6, 2022",25 Thousand
A Spacious And Modern Apartment Of 6300 Sq Ft Is For Rent In Baridhara,4 ,5 ,"6,300 sqft","Block K, Baridhara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1571634-240x180.webp,https://www.bproperty.com/en/property/details-5455016.html,"February 3, 2022",4 Lakh
We Are Pleased To Offer This Amazing 6300 Sq Ft Apartment In Baridhara Close To Uttar Baridhara Baitur Nur Jame Mosjid.,4 ,5 ,"6,300 sqft","Block K, Baridhara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1487618-240x180.webp,https://www.bproperty.com/en/property/details-5455008.html,"February 3, 2022",3.5 Lakh
"1407 Sq Ft Delightful Flat Is Up For Rent In Mohammadpur, Katashur",3 ,4 ,"1,407 sqft","Katashur, Mohammadpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1568096-400x300.webp,https://www.bproperty.com/en/property/details-4309280.html,"February 9, 2023",27 Thousand
A Very Affordable 1850 Sq Ft Flat With Good Transportation Availability Is For Rent In Dhanmondi,3 ,4 ,"1,850 sqft","Dhanmondi, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1552510-400x300.webp,https://www.bproperty.com/en/property/details-5438783.html,"February 19, 2023",60 Thousand
"To Live A Secure Life You Can Take This 1850 Sq Ft Flat For Rent At Dhanmondi, Central Road",3 ,4 ,"1,850 sqft","Dhanmondi, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1568096-400x300.webp,https://www.bproperty.com/en/property/details-5438792.html,"February 19, 2023",60 Thousand
2500 Square Feet Residential Flat For Rent In Merul Badda,4 ,5 ,"2,500 sqft","Merul Badda, Badda, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1572635-240x180.webp,https://www.bproperty.com/en/property/details-5552327.html,"February 13, 2023",70 Thousand
"See This 3000 Sq Ft Residential Apartment To Rent Located In Sector 3, Uttara",5 ,3 ,"3,000 sqft","Sector 3, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/958865-240x180.webp,https://www.bproperty.com/en/property/details-2052560.html,"July 30, 2022",1.2 Lakh
Residential Apartment Is Open For Rental Purpose In Katashur Saikat Housing Society.,3 ,2 ,"1,150 sqft","Katashur, Mohammadpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/922081-400x300.webp,https://www.bproperty.com/en/property/details-5068948.html,"February 9, 2023",22 Thousand
"900 Square Feet Apartment For Rent In Mohammadpur, Pc Culture Housing",2 ,2 ,900 sqft,"PC Culture Housing, Mohammadpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1568898-400x300.webp,https://www.bproperty.com/en/property/details-4618736.html,"February 17, 2023",15.5 Thousand
2200 Sq Ft Luxurious Apartment Is Ready For Rent In Gulshan 2 Near Gulshan Police Station,3 ,4 ,"2,200 sqft","Gulshan 2, Gulshan, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1570499-400x300.webp,https://www.bproperty.com/en/property/details-2023675.html,"August 1, 2022",95 Thousand
Well Planned Flat For Rent In Uttara Near The Aga Khan School,3 ,4 ,"1,975 sqft","Sector 4, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/41971-240x180.webp,https://www.bproperty.com/en/property/details-1955616.html,"February 4, 2023",42 Thousand
"1300 Sq Ft Flat With Nice Rooms For Rent In Mirpur-2, Borobag",3 ,3 ,"1,300 sqft","Section 2, Mirpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1572983-240x180.webp,https://www.bproperty.com/en/property/details-3714755.html,"February 6, 2023",25 Thousand
Grab A 1500 Sq Ft Flat For Rent At Shantinagar Close To Popular Hospital,3 ,4 ,"1,500 sqft","Shantinagar, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1205664-400x300.webp,https://www.bproperty.com/en/property/details-2021548.html,"August 17, 2022",40 Thousand
A Very Beautiful 960 Sq Ft Home Is Now Available For Rent In North Pirerbag,3 ,2 ,960 sqft,"Pirerbag, Mirpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1156214-400x300.webp,https://www.bproperty.com/en/property/details-5387818.html,"February 7, 2023",13 Thousand
